debut_date,group_name,hex_code
20130613,BTS,#BF55FF
20180325,Stray Kids,#FF0000
20190304,TXT,#00FFFF
20160808,Blackpink,#FF21B3
20190212,ITZY,#FF00FF
20140116,GOT7,#00FF7F
20150526,Seventeen,#F7CAC9
20231127,BabyMonster,#A40000
20240628,KATSEYE,#FFFF4C
20201130,Enhypen,#FF7F1A
20120408,EXO,#D6C8AC
20240906,MEOVV,#FFCEEC
20170113,Dreamcatcher,#8A2A2B
20180502,i-dle,#5C068C
20211201,IVE,#FF1360
20151020,Twice,#FCC89B
20230530,BOYNEXTDOOR,#2596BE
20230904,RIIZE,#FD5E53
20181024,ATEEZ,#FF5101
20230710,ZEROBASEONE,#83C6BD
20220502,LE SSERAFIM,#7BA6DE
20240325,ILLIT,#D7D9FF
20201117,AESPA,#87CEEB
20220222,NMIXX,#D67FF7
20250120,KickFlip,#A2A2A2
20230705,Kiss of Life,#E395C0
20240122,TWS,#4169E1
20171206,THE Boyz,#4682B4
20240228,NCT Wish,#C6FFB2
20160707,NCT 127,#92FF04
20160825,NCT Dream,#92F36D
20180124,Fromis_9,#FEF371
20220722,NewJeans,#323B80
20230213,TripleS,#FD01FB
20201112,StayC,#FD7190
20150907,Day6,#009193
20140801,Red Velvet,#9A0202
20220302,Tempest,#FFA830
20230130,8Turn,#C06A71
20220103,Kep1er,#AE72E8
20200807,Treasure,#00CFFF
20210315,Purple Kiss,#4B1E47
20221118,Fifty Fifty,#E99ABE
20240531,ARTMS,#1B7BCA
20150514,Monsta X,#DC143C
20160223,Astro,#7F00FF
20140618,Mamamoo,#CED13E
20201028,P1harmony,#F88360
20230330,Xikers,#AAAAAA
20120321,BTOB,#42B4E6
20220209,VIVIZ,#ACBAE9
20190117,NCT WayV,#AAF17D
